system,achievement_average,achievement_designation
10.0,2.1,Advancing
11.0,3.5,Exemplary
12.0,1.6666666666666667,Satisfactory
20.0,1.9166666666666667,Satisfactory
30.0,2.3,Advancing
40.0,1.9,Satisfactory
50.0,2.4166666666666665,Advancing
51.0,2.6666666666666665,Advancing
52.0,3.3333333333333335,Exemplary
60.0,2.75,Advancing
61.0,1.8333333333333333,Satisfactory
70.0,1.5,Satisfactory
80.0,2.0,Satisfactory
90.0,NaN,
92.0,2.6,Advancing
93.0,3.5,Exemplary
94.0,2.8,Advancing
95.0,2.6666666666666665,Advancing
97.0,2.0,Satisfactory
100.0,2.1,Advancing
101.0,2.7,Advancing
110.0,2.4,Advancing
120.0,2.8,Advancing
130.0,1.1,Satisfactory
140.0,2.6,Advancing
150.0,1.6,Satisfactory
151.0,2.6666666666666665,Advancing
160.0,3.5,Exemplary
161.0,2.875,Advancing
162.0,1.7,Satisfactory
170.0,3.0,Advancing
171.0,3.125,Exemplary
172.0,3.25,Exemplary
180.0,2.6666666666666665,Advancing
190.0,2.4166666666666665,Advancing
200.0,2.375,Advancing
210.0,2.5833333333333335,Advancing
220.0,2.3333333333333335,Advancing
230.0,3.1,Exemplary
231.0,2.8,Advancing
240.0,2.3333333333333335,Advancing
250.0,2.7,Advancing
260.0,2.3,Advancing
271.0,1.3,Satisfactory
272.0,3.3,Exemplary
273.0,2.5833333333333335,Advancing
274.0,2.4,Advancing
275.0,3.0,Advancing
280.0,2.4,Advancing
290.0,2.0,Satisfactory
300.0,1.3333333333333333,Satisfactory
301.0,2.9166666666666665,Advancing
310.0,1.8,Satisfactory
320.0,3.5,Exemplary
330.0,1.5833333333333333,Satisfactory
340.0,1.2,Satisfactory
350.0,1.5,Satisfactory
360.0,1.1,Satisfactory
370.0,1.8,Satisfactory
371.0,2.5,Advancing
380.0,1.9166666666666667,Satisfactory
390.0,2.7,Advancing
391.0,2.3333333333333335,Advancing
400.0,3.3,Exemplary
401.0,3.0,Advancing
410.0,2.2,Advancing
420.0,2.0,Satisfactory
430.0,1.4,Satisfactory
440.0,1.6,Satisfactory
450.0,2.5833333333333335,Advancing
460.0,1.5,Satisfactory
470.0,2.75,Advancing
480.0,2.375,Advancing
490.0,3.1,Exemplary
500.0,2.3,Advancing
510.0,1.2,Satisfactory
520.0,2.9,Advancing
521.0,2.1666666666666665,Advancing
530.0,2.6666666666666665,Advancing
531.0,1.4166666666666667,Satisfactory
540.0,1.5,Satisfactory
541.0,3.3333333333333335,Exemplary
542.0,1.0,Marginal
550.0,2.8,Advancing
560.0,1.6666666666666667,Satisfactory
570.0,1.25,Satisfactory
580.0,1.4,Satisfactory
581.0,1.8333333333333333,Satisfactory
590.0,3.25,Exemplary
600.0,1.4166666666666667,Satisfactory
610.0,2.4,Advancing
620.0,2.2,Advancing
621.0,2.625,Advancing
630.0,3.5833333333333335,Exemplary
640.0,3.0,Advancing
650.0,1.8,Satisfactory
660.0,1.9,Satisfactory
661.0,2.6666666666666665,Advancing
670.0,2.0,Satisfactory
680.0,1.7,Satisfactory
690.0,1.2,Satisfactory
700.0,2.6,Advancing
710.0,2.1666666666666665,Advancing
720.0,1.3333333333333333,Satisfactory
721.0,1.75,Satisfactory
730.0,2.4,Advancing
740.0,2.1666666666666665,Advancing
750.0,2.3333333333333335,Advancing
751.0,2.0,Satisfactory
760.0,1.7,Satisfactory
761.0,2.6,Advancing
770.0,1.3,Satisfactory
780.0,1.75,Satisfactory
792.0,2.5,Advancing
793.0,2.9166666666666665,Advancing
794.0,2.9166666666666665,Advancing
795.0,3.0,Advancing
796.0,3.0833333333333335,Exemplary
797.0,3.25,Exemplary
798.0,2.3333333333333335,Advancing
800.0,1.6,Satisfactory
810.0,2.4,Advancing
820.0,1.1,Satisfactory
821.0,2.7,Advancing
822.0,2.5,Advancing
830.0,3.1666666666666665,Exemplary
840.0,3.1,Exemplary
850.0,3.3,Exemplary
860.0,1.0833333333333333,Satisfactory
870.0,2.6,Advancing
880.0,2.6,Advancing
890.0,1.75,Satisfactory
900.0,1.4,Satisfactory
901.0,3.4166666666666665,Exemplary
910.0,1.4,Satisfactory
920.0,2.0,Satisfactory
930.0,2.4,Advancing
940.0,3.3333333333333335,Exemplary
941.0,3.5,Exemplary
950.0,2.9166666666666665,Advancing
951.0,2.125,Advancing
960.0,NaN,
961.0,2.0,Satisfactory
963.0,1.0,Marginal
964.0,1.5,Satisfactory
970.0,NaN,
985.0,1.9,Satisfactory
