system,subgroup_average,subgroup_designation
10.0,1.9,Satisfactory
11.0,3.25,Exemplary
12.0,2.0357142857142856,Advancing
20.0,1.8125,Satisfactory
30.0,1.75,Satisfactory
40.0,1.0833333333333333,Satisfactory
50.0,2.1538461538461537,Advancing
51.0,2.6,Advancing
52.0,3.1,Exemplary
60.0,2.3461538461538463,Advancing
61.0,2.2857142857142856,Advancing
70.0,1.6428571428571428,Satisfactory
80.0,2.1666666666666665,Advancing
90.0,NaN,
92.0,2.1666666666666665,Advancing
93.0,3.2142857142857144,Exemplary
94.0,2.5625,Advancing
95.0,2.75,Advancing
97.0,2.4,Advancing
100.0,2.6666666666666665,Advancing
101.0,2.625,Advancing
110.0,2.0555555555555554,Advancing
120.0,2.8333333333333335,Advancing
130.0,1.5625,Satisfactory
140.0,2.3333333333333335,Advancing
150.0,1.9,Satisfactory
151.0,2.25,Advancing
160.0,2.4,Advancing
161.0,2.9444444444444446,Advancing
162.0,1.4444444444444444,Satisfactory
170.0,2.5,Advancing
171.0,2.25,Advancing
172.0,3.0,Advancing
180.0,2.5,Advancing
190.0,2.289473684210526,Advancing
200.0,2.3125,Advancing
210.0,2.0,Satisfactory
220.0,2.076923076923077,Advancing
230.0,3.0,Advancing
231.0,2.7,Advancing
240.0,2.227272727272727,Advancing
250.0,2.5,Advancing
260.0,1.6818181818181819,Satisfactory
271.0,1.45,Satisfactory
272.0,3.25,Exemplary
273.0,2.65,Advancing
274.0,3.25,Exemplary
275.0,2.7222222222222223,Advancing
280.0,1.9090909090909092,Satisfactory
290.0,2.111111111111111,Advancing
300.0,1.5555555555555556,Satisfactory
301.0,3.0,Advancing
310.0,1.7142857142857142,Satisfactory
320.0,3.0,Advancing
330.0,1.65,Satisfactory
340.0,1.0,Marginal
350.0,1.0909090909090908,Satisfactory
360.0,1.4,Satisfactory
370.0,2.111111111111111,Advancing
371.0,3.0,Advancing
380.0,1.15,Satisfactory
390.0,2.727272727272727,Advancing
391.0,2.3,Advancing
400.0,2.888888888888889,Advancing
401.0,2.25,Advancing
410.0,2.2777777777777777,Advancing
420.0,2.0833333333333335,Advancing
430.0,1.7222222222222223,Satisfactory
440.0,2.25,Advancing
450.0,2.5,Advancing
460.0,1.8333333333333333,Satisfactory
470.0,2.263157894736842,Advancing
480.0,2.0,Satisfactory
490.0,2.9545454545454546,Advancing
500.0,2.6,Advancing
510.0,1.6666666666666667,Satisfactory
520.0,3.388888888888889,Exemplary
521.0,2.0714285714285716,Advancing
530.0,2.409090909090909,Advancing
531.0,1.7142857142857142,Satisfactory
540.0,1.9583333333333333,Satisfactory
541.0,2.75,Advancing
542.0,1.5,Satisfactory
550.0,2.2222222222222223,Advancing
560.0,1.625,Satisfactory
570.0,1.75,Satisfactory
580.0,2.0555555555555554,Advancing
581.0,3.0,Advancing
590.0,3.375,Exemplary
600.0,1.6176470588235294,Satisfactory
610.0,2.5833333333333335,Advancing
620.0,2.1666666666666665,Advancing
621.0,2.75,Advancing
630.0,3.25,Exemplary
640.0,2.6,Advancing
650.0,1.2857142857142858,Satisfactory
660.0,2.3,Advancing
661.0,2.9444444444444446,Advancing
670.0,2.0,Satisfactory
680.0,2.4166666666666665,Advancing
690.0,1.0,Marginal
700.0,1.75,Satisfactory
710.0,1.8235294117647058,Satisfactory
720.0,2.409090909090909,Advancing
721.0,1.9,Satisfactory
730.0,2.0454545454545454,Advancing
740.0,2.0,Satisfactory
750.0,2.625,Advancing
751.0,1.6818181818181819,Satisfactory
760.0,1.3333333333333333,Satisfactory
761.0,2.375,Advancing
770.0,1.9285714285714286,Satisfactory
780.0,1.8125,Satisfactory
792.0,2.5,Advancing
793.0,3.0416666666666665,Exemplary
794.0,2.769230769230769,Advancing
795.0,2.923076923076923,Advancing
796.0,3.125,Exemplary
797.0,2.8333333333333335,Advancing
798.0,1.7916666666666667,Satisfactory
800.0,1.2222222222222223,Satisfactory
810.0,2.5,Advancing
820.0,1.45,Satisfactory
821.0,2.2,Advancing
822.0,2.75,Advancing
830.0,3.0,Advancing
840.0,3.3181818181818183,Exemplary
850.0,3.642857142857143,Exemplary
860.0,1.2222222222222223,Satisfactory
870.0,2.6875,Advancing
880.0,2.375,Advancing
890.0,1.9411764705882353,Satisfactory
900.0,2.0,Satisfactory
901.0,3.264705882352941,Exemplary
910.0,1.4285714285714286,Satisfactory
920.0,2.05,Advancing
930.0,2.2777777777777777,Advancing
940.0,3.0833333333333335,Exemplary
941.0,3.35,Exemplary
950.0,2.75,Advancing
951.0,2.0,Satisfactory
960.0,NaN,
961.0,3.5,Exemplary
963.0,NaN,
964.0,NaN,
970.0,NaN,
985.0,1.25,Satisfactory
